,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#,Time
0,10000,8964,1036,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,0.0
1,10000,8882,1118,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,1.0
2,10000,8793,1207,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,2.0
3,10000,8662,1338,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,3.0
4,10000,8543,1457,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,4.0
5,10000,8371,1629,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,5.0
6,9999,8217,1782,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,6.0
7,9997,8037,1960,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,7.0
8,9992,7813,2179,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,8.0
9,9985,7564,2421,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,9.0
10,9977,7295,2682,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,10.0
11,9967,7015,2952,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,11.0
12,9957,6696,3261,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,12.0
13,9942,6383,3559,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,13.0
14,9921,6034,3887,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,14.0
15,9904,5666,4238,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,15.0
16,9874,5302,4569,3,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,16.0
17,9851,4925,4922,4,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,17.0
18,9825,4579,5234,12,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,18.0
19,9781,4224,5534,23,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,19.0
20,9751,3850,5859,42,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,20.0
21,9706,3492,6146,68,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,21.0
22,9663,3181,6365,117,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,22.0
23,9616,2864,6576,176,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,23.0
24,9580,2580,6755,245,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,24.0
25,9525,2326,6848,351,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,25.0
26,9468,2070,6915,483,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,26.0
27,9418,1822,6931,665,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,27.0
28,9355,1567,6920,868,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,28.0
29,9292,1408,6818,1066,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,29.0
30,9236,1237,6682,1317,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,30.0
31,9175,1085,6532,1558,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,31.0
32,9119,958,6384,1777,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,32.0
33,9061,849,6183,2029,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,33.0
34,9013,751,5961,2301,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,34.0
35,8964,675,5738,2551,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,35.0
36,8919,599,5518,2802,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,36.0
37,8864,555,5249,3060,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,37.0
38,8818,502,5003,3313,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,38.0
39,8767,458,4775,3534,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,39.0
40,8725,414,4525,3786,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,40.0
41,8679,385,4265,4029,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,41.0
42,8635,351,4036,4248,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,42.0
43,8596,327,3756,4513,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,43.0
44,8554,302,3507,4745,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,44.0
45,8524,285,3281,4958,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,45.0
46,8498,269,3073,5156,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,46.0
47,8470,246,2865,5359,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,47.0
48,8443,231,2665,5547,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,48.0
49,8421,222,2472,5727,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,49.0
50,8401,210,2294,5897,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,50.0
51,8372,203,2123,6046,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,51.0
52,8349,197,1963,6189,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,52.0
53,8336,187,1832,6317,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,53.0
54,8312,178,1686,6448,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,54.0
55,8291,171,1546,6574,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,55.0
56,8277,165,1418,6694,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,56.0
57,8259,161,1294,6804,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,57.0
58,8249,161,1199,6889,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,58.0
59,8244,159,1104,6981,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,59.0
60,8232,157,1014,7061,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,60.0
61,8223,155,935,7133,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,61.0
62,8215,154,871,7190,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,62.0
63,8200,154,792,7254,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,63.0
64,8194,153,740,7301,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,64.0
65,8191,152,702,7337,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,65.0
66,8178,151,640,7387,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,66.0
67,8170,150,595,7425,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,67.0
68,8165,149,554,7462,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,68.0
69,8157,148,505,7504,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,69.0
70,8151,148,461,7542,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,70.0
71,8143,148,423,7572,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,71.0
72,8137,148,389,7600,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,72.0
73,8132,148,364,7620,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,73.0
74,8127,146,323,7658,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,74.0
75,8126,146,307,7673,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,75.0
76,8120,146,288,7686,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,76.0
77,8117,145,267,7705,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,77.0
78,8115,145,249,7721,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,78.0
79,8110,144,223,7743,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,79.0
80,8109,144,204,7761,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,80.0
81,8106,143,186,7777,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,81.0
82,8106,143,169,7794,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,82.0
83,8103,142,149,7812,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,83.0
84,8102,142,128,7832,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,84.0
85,8101,142,120,7839,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,85.0
86,8100,142,113,7845,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,86.0
87,8100,141,105,7854,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,87.0
88,8100,141,99,7860,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,88.0
89,8098,141,88,7869,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,89.0
90,8097,141,81,7875,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,90.0
91,8097,141,75,7881,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,91.0
92,8096,141,64,7891,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,92.0
93,8095,141,56,7898,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,93.0
94,8094,141,55,7898,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,94.0
95,8093,141,53,7899,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,95.0
96,8092,141,51,7900,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,96.0
97,8092,141,44,7907,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,97.0
98,8090,141,39,7910,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,98.0
99,8090,141,36,7913,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,99.0
100,10000,8992,1008,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,0.0
101,10000,8917,1083,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,1.0
102,10000,8826,1174,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,2.0
103,10000,8726,1274,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,3.0
104,10000,8595,1405,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,4.0
105,9998,8477,1521,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,5.0
106,9998,8322,1676,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,6.0
107,9995,8123,1872,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,7.0
108,9992,7959,2033,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,8.0
109,9984,7731,2253,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,9.0
110,9979,7489,2490,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,10.0
111,9975,7197,2778,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,11.0
112,9962,6869,3093,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,12.0
113,9950,6583,3367,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,13.0
114,9926,6245,3681,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,14.0
115,9906,5910,3996,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,15.0
116,9887,5555,4332,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,16.0
117,9857,5209,4648,0,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,17.0
118,9833,4856,4973,4,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,18.0
119,9802,4506,5276,20,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,19.0
120,9764,4173,5554,37,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,20.0
121,9722,3831,5829,62,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,21.0
122,9686,3506,6077,103,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,22.0
123,9638,3202,6278,158,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,23.0
124,9578,2922,6434,222,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,24.0
125,9537,2645,6582,310,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,25.0
126,9486,2396,6637,453,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,26.0
127,9436,2176,6645,615,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,27.0
128,9393,1955,6664,774,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,28.0
129,9337,1748,6616,973,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,29.0
130,9278,1547,6573,1158,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,30.0
131,9224,1375,6469,1380,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,31.0
132,9161,1250,6304,1607,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,32.0
133,9101,1126,6114,1861,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,33.0
134,9054,1005,5930,2119,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,34.0
135,9002,897,5741,2364,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,35.0
136,8951,806,5515,2630,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,36.0
137,8910,724,5304,2882,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,37.0
138,8865,665,5084,3116,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,38.0
139,8819,598,4890,3331,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,39.0
140,8771,555,4662,3554,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,40.0
141,8723,506,4415,3802,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,41.0
142,8678,452,4165,4061,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,42.0
143,8648,417,3940,4291,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,43.0
144,8615,394,3704,4517,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,44.0
145,8584,363,3491,4730,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,45.0
146,8548,334,3282,4932,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,46.0
147,8523,313,3077,5133,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,47.0
148,8493,288,2901,5304,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,48.0
149,8461,266,2694,5501,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,49.0
150,8444,255,2532,5657,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,50.0
151,8425,247,2381,5797,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,51.0
152,8403,241,2217,5945,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,52.0
153,8384,236,2069,6079,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,53.0
154,8370,224,1910,6236,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,54.0
155,8349,216,1781,6352,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,55.0
156,8339,209,1647,6483,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,56.0
157,8326,193,1553,6580,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,57.0
158,8311,183,1460,6668,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,58.0
159,8302,178,1337,6787,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,59.0
160,8291,171,1238,6882,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,60.0
161,8284,166,1130,6988,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,61.0
162,8277,160,1041,7076,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,62.0
163,8265,155,961,7149,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,63.0
164,8259,152,895,7212,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,64.0
165,8246,149,813,7284,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,65.0
166,8239,145,756,7338,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,66.0
167,8233,142,688,7403,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,67.0
168,8227,140,639,7448,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,68.0
169,8218,137,597,7484,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,69.0
170,8216,135,556,7525,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,70.0
171,8210,134,508,7568,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,71.0
172,8208,132,472,7604,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,72.0
173,8205,131,440,7634,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,73.0
174,8197,130,403,7664,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,74.0
175,8191,130,371,7690,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,75.0
176,8190,129,347,7714,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,76.0
177,8189,125,325,7739,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,77.0
178,8187,124,301,7762,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,78.0
179,8184,124,276,7784,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,79.0
180,8181,123,254,7804,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,80.0
181,8180,123,238,7819,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,81.0
182,8178,123,217,7838,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,82.0
183,8178,123,206,7849,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,83.0
184,8174,122,190,7862,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,84.0
185,8172,122,169,7881,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,85.0
186,8172,122,155,7895,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,86.0
187,8169,122,138,7909,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,87.0
188,8168,122,130,7916,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,88.0
189,8166,122,114,7930,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,89.0
190,8165,122,104,7939,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,90.0
191,8165,122,102,7941,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,91.0
192,8164,122,95,7947,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,92.0
193,8164,122,91,7951,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,93.0
194,8163,122,83,7958,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,94.0
195,8163,122,77,7964,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,95.0
196,8161,122,71,7968,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,96.0
197,8161,122,67,7972,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,97.0
198,8160,122,59,7979,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,98.0
199,8160,122,54,7984,10000.0,0.1,0.5,28.0,0.02,0.25,2.0,99.0
200,10000,8960,1040,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,0.0
201,10000,8866,1134,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,1.0
202,10000,8776,1224,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,2.0
203,10000,8652,1348,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,3.0
204,10000,8501,1499,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,4.0
205,10000,8357,1643,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,5.0
206,9998,8197,1801,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,6.0
207,9998,7973,2025,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,7.0
208,9995,7726,2269,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,8.0
209,9988,7470,2518,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,9.0
210,9976,7203,2773,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,10.0
211,9964,6898,3066,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,11.0
212,9953,6595,3358,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,12.0
213,9934,6262,3672,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,13.0
214,9914,5958,3956,0,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,14.0
215,9895,5617,4277,1,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,15.0
216,9875,5278,4594,3,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,16.0
217,9846,4911,4928,7,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,17.0
218,9814,4575,5221,18,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,18.0
219,9780,4242,5509,29,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,19.0
220,9740,3871,5823,46,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,20.0
221,9702,3495,6116,91,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,21.0
222,9662,3180,6348,134,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,22.0
223,9620,2893,6517,210,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,23.0
224,9572,2595,6673,304,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,24.0
225,9521,2298,6806,417,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,25.0
226,9482,2058,6875,549,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,26.0
227,9442,1837,6875,730,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,27.0
228,9384,1636,6830,918,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,28.0
229,9329,1447,6754,1128,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,29.0
230,9283,1279,6630,1374,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,30.0
231,9230,1127,6490,1613,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,31.0
232,9165,973,6343,1849,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,32.0
233,9106,857,6139,2110,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,33.0
234,9052,749,5947,2356,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,34.0
235,8994,659,5718,2617,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,35.0
236,8945,582,5461,2902,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,36.0
237,8896,505,5247,3144,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,37.0
238,8844,446,4986,3412,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,38.0
239,8794,406,4754,3634,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,39.0
240,8753,372,4485,3896,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,40.0
241,8712,339,4252,4121,10000.0,0.1,0.5,28.0,0.02,0.25,3.0,41.0
